"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Window","Quick Switch Editor","⌘E","In Windows"
"AnyEdit Tools","Spaces to Tabs","⌃⌥Tab","Editing Text"
"AnyEdit Tools","Camel <-> Underscores","⌃⌥K","Editing Text"
"View","Zoom Out","⌘-","In Windows"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Server","Publish","⌥⌘P","In Servers View"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Text Editing","Text End","↘","Editing Text"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Edit","Run Query command","⌃↩","Editing HQL"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"AnyEdit Tools","Capitalize","⌃⌥C","Editing Text"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"AnyEdit Tools","Html Entities to Chars","⌃⌥W","Editing Text"
"Scala Editor","Debug Scala Application","⇧⌥D S","In Windows"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Text Editing","Text End","⌘↘","Editing Text"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Task","Mark Task Complete","⇧⌥C","In Tasks View"
